Hub,Length [m],Path,Length [nodes],Traffic,Origin
43,2615150.9992778073,[43 21  0],3,178.61648854146847,0
43,4587104.392658133,[43 21  0  1],4,0.05346618576004403,1
1364,8110600.276970562,[1364 1385 1407 1429 1451 1473 1495 1517 1539 1561 1583    2],12,0.0,2
179,4300955.721676111,[179 157 135 113  91  69  47  25   3],9,0.0,3
179,6272909.1150564365,[179 157 135 113  91  69  47  25   3   4],10,0.06882822451271262,4
1543,2877176.679497102,[1543 1542 1564    5],4,17.53426374207389,5
1565,450630.54207261966,[1565    6],2,0.0,6
1566,487246.0336626479,[1566    7],2,0.0,7
1567,544557.9334471751,[1567    8],2,0.0,8
30,2519022.078703357,[30  8  9],3,0.07355029354395093,9
1546,3254757.1765079154,[1546 1547 1569   10],4,0.45571718728615757,10
1549,3286380.236727233,[1549 1548 1570   11],4,0.048113283867353474,11
12,0.0,[12],1,0.02034786170714567,12
1572,605041.3829628066,[1572   13],2,0.0004488110062084161,13
14,0.0,[14],1,138.59744133411925,14
15,0.0,[15],1,443.9229776540793,15
1510,3786498.2788428827,[1510 1509 1531 1553 1575   16],6,40.505928414495514,16
1576,450630.5420726211,[1576   17],2,153.24009255745096,17
236,8427822.712559327,[236 214 192 170 148 126 104  82  60  38  16  17  18],13,463.2298135468565,18
84,3446603.169918235,[84 62 40 18 19],5,779.936120432737,19
20,0.0,[20],1,55.97090753510413,20
21,0.0,[21],1,795.1877975453374,21
43,1971953.3933803262,[43 22],2,186.76568922790943,22
43,3943906.786760652,[43 22 23],3,0.010069326075608842,23
1364,8713562.321351707,[1364 1385 1407 1429 1451 1473 1495 1517 1539 1561 1583    2   24],13,0.0,24
179,3754549.5845475793,[179 157 135 113  91  69  47  25],8,0.0,25
179,5726502.9779279055,[179 157 135 113  91  69  47  25  26],9,20.190902221248265,26
71,900088.1925933387,[71 49 27],3,7.481423451945061,27
1565,902101.1204839302,[1565    6   28],3,0.0,28
1566,976621.2424835096,[1566    7   29],3,0.0,29
30,0.0,[30],1,0.0,30
30,1971953.3933803246,[30 31],2,0.0715569875102684,31
1549,5869908.1757857185,[1549 1548 1547 1569   10   32],6,1.1269879677525072,32
1571,3273258.39008985,[1571   12   11   33],4,0.060990680798397534,33
921,40625032.54874401,"[ 921  920  919  918  917  916  915  914  913  912  911  933  955  977
  999 1021 1043 1065 1087 1109 1131 1153 1175 1197 1219 1241 1263 1285
 1307 1329 1351 1373 1395 1417 1439 1461 1483 1505 1527 1549 1571   12
   34]",43,0.01175824721813426,34
1572,1208003.4273439518,[1572   13   35],3,0.0004488110062084161,35
36,0.0,[36],1,188.12608333113474,36
37,0.0,[37],1,517.0227967884061,37
38,0.0,[38],1,63.87940140608424,38
1576,902101.1204839316,[1576   17   39],3,197.53060670356098,39
149,4244265.757865996,[149 127 105  83  61  39  40],7,737.7510614884669,40
541,25069614.36945509,"[541 519 497 475 453 431 409 387 365 343 321 299 277 255 233 211 189 167
 145 123 101  79  57  35  36  37  38  39  40  41]",30,633.2741147230576,41
42,0.0,[42],1,76.3380177086351,42
43,0.0,[43],1,892.5058419712668,43
43,2629187.8966225204,[43 22 44],3,69.24103059664048,44
759,40439991.98000929,"[759 737 715 693 671 649 627 605 583 561 539 517 495 473 451 429 407 385
 363 341 319 297 275 253 231 209 187 165 143 121  99  77  55  54  53  52
  51  50  49  48  47  46  45]",43,0.0,45
179,5182608.183724221,[179 157 135 113  91  69  47  46],8,0.0,46
179,3210654.7903438956,[179 157 135 113  91  69  47],7,8.334340008653065,47
136,1926320.6445826748,[136 114  92  70  48],5,43.32406854909043,48
71,449667.89100006904,[71 49],2,0.005547571268497364,49
1566,3363048.9783517313,[1566    7    6   28   50],5,0.0,50
1567,3497425.4937734483,[1567    8    7   29   51],5,0.0,51
30,549576.3237089372,[30 52],2,0.0,52
30,2577538.595866844,[30 31 53],3,0.2759703636926468,53
