Hub,Length [m],Path,Length [nodes],Traffic,Origin
21,1971953.3933803265,[21  0],2,169.04369357382825,0
43,4587422.715342622,[43 21  0  1],4,0.05346618576004403,1
1299,11952956.708615178,"[1299 1298 1319 1341 1363 1385 1407 1429 1451 1473 1495 1517 1539 1561
 1583    2]",16,0.0,2
179,4295420.001591585,[179 157 135 113  91  69  47  25   3],9,0.0,3
179,6267373.39497191,[179 157 135 113  91  69  47  25   3   4],10,0.06882822451271262,4
1543,2876652.9552421905,[1543 1542 1564    5],4,17.1762255382976,5
1565,450855.5171915322,[1565    6],2,0.0,6
1566,487830.14977059263,[1566    7],2,0.0,7
1567,545251.1492974655,[1567    8],2,0.0,8
30,2519714.573097976,[30  8  9],3,0.07355029354395093,9
1546,3255431.1145082205,[1546 1547 1569   10],4,0.4543727131975887,10
1549,3286414.3167909356,[1549 1548 1570   11],4,0.048113283867353474,11
12,0.0,[12],1,0.020343050066353202,12
1572,604470.5040726117,[1572   13],2,0.0004488110062084161,13
14,0.0,[14],1,139.39890120770795,14
15,0.0,[15],1,445.359095878022,15
1510,3785377.592761157,[1510 1509 1531 1553 1575   16],6,41.18755618379997,16
1576,450855.51719153346,[1576   17],2,154.49321641940793,17
127,4240463.5751862,[127 105  83  61  39  17  18],7,477.3276126206391,18
84,3448411.9303811416,[84 62 40 18 19],5,758.9725272565258,19
20,0.0,[20],1,55.76602403022942,20
21,0.0,[21],1,801.6173708941071,21
43,1971953.3933803258,[43 22],2,172.0323127690965,22
43,3943906.7867606515,[43 22 23],3,0.010069326075608842,23
1299,12555339.548396476,"[1299 1298 1319 1341 1363 1385 1407 1429 1451 1473 1495 1517 1539 1561
 1583    2   24]",17,0.0,24
179,3749706.795955843,[179 157 135 113  91  69  47  25],8,0.0,25
179,5721660.1893361695,[179 157 135 113  91  69  47  25  26],9,19.98941537519684,26
71,899678.2125858609,[71 49 27],3,7.0375667223868374,27
1565,902570.0267017512,[1565    6   28],3,0.0,28
